Input size,Recursive time (ns),Iterative time (ns)
1,700,2400
5,4300,1300
10,8500,1200
15,92100,1500
20,156200,1300
25,726200,2100
30,4895800,1900
35,34868800,1400
40,416031200,4100
45,4045903800,2100
50,43730204500,1600
