Input size,Recursive time (ns),Iterative time (ns)
1,2900,1000
5,5400,900
10,9400,1300
15,159900,1300
20,209100,1300
25,1127300,1400
30,6093700,3200
35,32946500,1300
40,385469100,1800
45,4269901200,2000
50,44911242400,2300
