Input size,Recursive time (ns),Iterative time (ns)
1,800,4000
5,6600,1300
10,9600,1300
15,97800,1400
20,100100,1400
25,781400,1600
30,3697800,1300
35,56725400,2100
40,472683400,3600
45,4256733500,1400
50,44779149700,3100
